# Aspire.Dashboard.dll

Name: Aspire.Dashboard | Version: 13.4.0-dev | TFM: .NETCoreApp,Version=v8.0 | Arch: AnyCPU | Size: 3.7 MB | Source: File | Modified: 2026-06-27

## Performance Triage

| Member | Root Reach | Shape | Evidence | Fix | Confidence | Loop | IL |
| `Aspire.Dashboard.Model.TraceMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpTrace, bool)` | 6 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0121` |
| `Aspire.Dashboard.Components.Pages.Resources.GetFilteredResources()` | 5 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0012` |
| `Aspire.Dashboard.Components.Pages.TraceDetail.UpdateTraceActionsMenu()` | 5 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_004D` |
| `Aspire.Dashboard.Components.Pages.TraceDetail.UpdateTraceActionsMenu()` | 5 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_00A4` |
| `Aspire.Dashboard.Components.Resize.GridColumnManager.SetViewportInformation(Aspire.Dashboard.Components.Resize.ViewportSize, bool)` | 5 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_006A` |
| `Aspire.Dashboard.Model.Assistant.AIHelpers.TryGetResource(System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Otlp.Model.OtlpResource>, string, ref Aspire.Dashboard.Otlp.Model.OtlpResource)` | 5 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0015` |
| `Aspire.Dashboard.Model.Assistant.AIHelpers.TryGetResource(System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Otlp.Model.OtlpResource>, string, ref Aspire.Dashboard.Otlp.Model.OtlpResource)` | 5 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002C` |
| `Aspire.Dashboard.Model.TextVisualizerViewModel.GetLines(string, string)` | 5 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0040` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0060` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00F0` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0112` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0174` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_01DA` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_02B5` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_02CC` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.UpdateMenuButtons()` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_02DD` |
| `Aspire.Dashboard.Model.Assistant.AIHelpers.TryGetResource(System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.ResourceViewModel>, string, ref Aspire.Dashboard.Model.ResourceViewModel)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0015` |
| `Aspire.Dashboard.Model.Assistant.AIHelpers.TryGetResource(System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.ResourceViewModel>, string, ref Aspire.Dashboard.Model.ResourceViewModel)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002C` |
| `Aspire.Dashboard.Model.DebugSessionHelpers.CreateHttpClient(System.Uri, string, System.Security.Cryptography.X509Certificates.X509Certificate2, System.Func<System.Net.Http.HttpClientHandler, System.Net.Http.HttpMessageHandler>)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0023` |
| `Aspire.Dashboard.Model.Otlp.SpanWaterfallViewModel.Create(Aspire.Dashboard.Otlp.Model.OtlpTrace, System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>, Aspire.Dashboard.Model.Otlp.SpanWaterfallViewModel.TraceDetailState)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00F3` |
| `Aspire.Dashboard.Model.SpanDetailsViewModel.Create(Aspire.Dashboard.Otlp.Model.OtlpSpan, Aspire.Dashboard.Otlp.Storage.TelemetryRepository, System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpResource>)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_00E0` |
| `Aspire.Dashboard.Model.SpanDetailsViewModel.Create(Aspire.Dashboard.Otlp.Model.OtlpSpan, Aspire.Dashboard.Otlp.Storage.TelemetryRepository, System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpResource>)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_00FD` |
| `Aspire.Dashboard.Model.SpanDetailsViewModel.CreateLinkViewModel(string, string, System.Collections.Generic.KeyValuePair<string, string>[], Aspire.Dashboard.Otlp.Storage.TelemetryRepository, System.Collections.Generic.Dictionary<string, Aspire.Dashboard.Otlp.Model.OtlpTrace>)` | 4 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_003A` |
| `Aspire.Dashboard.Components.AssistantChat.CreateItem(Aspire.Dashboard.Model.Assistant.ModelViewModel)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_003A` |
| `Aspire.Dashboard.Components.AssistantChat.CreateModelMenuItems()` | 3 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_005F` |
| `Aspire.Dashboard.Components.Dialogs.FilterDialog.ValueChanged()` | 3 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0044` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.GetConsoleLogResourceSelectViewModels(System.Collections.Concurrent.ConcurrentDictionary<string, Aspire.Dashboard.Model.ResourceViewModel>, Aspire.Dashboard.Model.SelectViewModel<Aspire.Dashboard.Model.ResourceTypeDetails>, string, bool, ref Aspire.Dashboard.Model.SelectViewModel<Aspire.Dashboard.Model.ResourceTypeDetails>)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0039` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.LoadLogsForResource(Aspire.Dashboard.Components.Pages.ConsoleLogs.ConsoleLogsSubscription)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0044` |
| `Aspire.Dashboard.Components.Pages.Resources.UpdateFromResource(Aspire.Dashboard.Model.ResourceViewModel, System.Func<string, bool>, System.Func<string, bool>, System.Func<string, bool>)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00AD` |
| `Aspire.Dashboard.Components.Pages.Resources.UpdateFromResource(Aspire.Dashboard.Model.ResourceViewModel, System.Func<string, bool>, System.Func<string, bool>, System.Func<string, bool>)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00FD` |
| `Aspire.Dashboard.Components.Pages.Resources.UpdateFromResource(Aspire.Dashboard.Model.ResourceViewModel, System.Func<string, bool>, System.Func<string, bool>, System.Func<string, bool>)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_017F` |
| `Aspire.Dashboard.Model.Assistant.Prompts.PromptContextsBuilder.AnalyzeTrace(Aspire.Dashboard.Model.Assistant.InitializePromptContext, string, Aspire.Dashboard.Otlp.Model.OtlpTrace)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0094` |
| `Aspire.Dashboard.Model.ThemeManager.OnThemeChanged(System.Func<System.Threading.Tasks.Task>)` | 3 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0019` |
| `Aspire.Dashboard.Otlp.Model.OtlpLogEntry..ctor(OpenTelemetry.Proto.Logs.V1.LogRecord, Aspire.Dashboard.Otlp.Model.OtlpResourceView, Aspire.Dashboard.Otlp.Model.OtlpScope, Aspire.Dashboard.Otlp.Model.OtlpContext)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_004D` |
| `Aspire.Dashboard.Otlp.Storage.TelemetryRepository.GetInstrument(Aspire.Dashboard.Otlp.Storage.GetInstrumentRequest)` | 3 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0028` |
| `Aspire.Shared.ConsoleLogs.LogParser.CreateLogEntry(string, bool, string)` | 3 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0054` |
| `Aspire.Dashboard.Components.Controls.ResourceDetails.GetBackRelationships()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0026` |
| `Aspire.Dashboard.Components.Controls.ResourceDetails.GetBackRelationships()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0037` |
| `Aspire.Dashboard.Components.Dialogs.AssistantModalDialog.InitializeChatViewModel()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0030` |
| `Aspire.Dashboard.Components.Dialogs.GenAIVisualizerDialog.TryUpdateViewedGenAISpan(Aspire.Dashboard.Otlp.Model.OtlpSpan)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0087` |
| `Aspire.Dashboard.Components.Dialogs.ManageDataDialog.RemoveAllSelectionsForResource(string)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_001A` |
| `Aspire.Dashboard.Components.Dialogs.ManageDataDialog.UpdateData()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0012` |
| `Aspire.Dashboard.Components.Dialogs.ManageDataDialog.UpdateData()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_018B` |
| `Aspire.Dashboard.Components.Dialogs.NotificationsDialog.HandleNotificationsChanged()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0008` |
| `Aspire.Dashboard.Components.Layout.NotificationsHeaderButton.HandleNotificationsChanged()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0008` |
| `Aspire.Dashboard.Components.LogViewer.OnBrowserResize(object, System.EventArgs)` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0008` |
| `Aspire.Dashboard.Components.Pages.Metrics.UpdateSubscription()` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00B1` |
| `Aspire.Dashboard.Components.Pages.Resources.UpdateFromResource(Aspire.Dashboard.Model.ResourceViewModel)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00CF` |
| `Aspire.Dashboard.Components.Pages.Resources.UpdateFromResource(Aspire.Dashboard.Model.ResourceViewModel)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00DB` |
| `Aspire.Dashboard.Components.Pages.Resources.UpdateFromResource(Aspire.Dashboard.Model.ResourceViewModel)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00E7` |
| `Aspire.Dashboard.Components.Pages.StructuredLogs.OnBrowserResize(object, System.EventArgs)` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0008` |
| `Aspire.Dashboard.Components.Pages.TraceDetail.GetVisibleSpanViewModels()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_00F2` |
| `Aspire.Dashboard.Components.Pages.Traces.OnBrowserResize(object, System.EventArgs)` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0008` |
| `Aspire.Dashboard.Components.Pages.Traces.UpdateSubscription()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0095` |
| `Aspire.Dashboard.Model.Assistant.AIContextProvider.ExecuteSubscriptions(System.Collections.Generic.List<Aspire.Dashboard.Model.ModelSubscription>)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_001B` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel.AddUserPrompt(Aspire.Dashboard.Model.Assistant.ChatViewModel, string, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002A` |
| `Aspire.Dashboard.Model.Assistant.FollowUpPromptViewModel.ParseResponseText(Aspire.Dashboard.Model.Markdown.MarkdownProcessor, System.Collections.Generic.List<Aspire.Dashboard.Model.Assistant.FollowUpPromptViewModel>, string, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0022` |
| `Aspire.Dashboard.Model.Assistant.Prompts.PromptContextsBuilder.AnalyzeLogEntry(Aspire.Dashboard.Model.Assistant.InitializePromptContext, string, Aspire.Dashboard.Otlp.Model.OtlpLogEntry)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0040` |
| `Aspire.Dashboard.Model.Assistant.Prompts.PromptContextsBuilder.AnalyzeSpan(Aspire.Dashboard.Model.Assistant.InitializePromptContext, string, Aspire.Dashboard.Otlp.Model.OtlpSpan)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_009E` |
| `Aspire.Dashboard.Model.Assistant.Prompts.PromptContextsBuilder.ErrorStructuredLogs(Aspire.Dashboard.Model.Assistant.InitializePromptContext, string, System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>>)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_007D` |
| `Aspire.Dashboard.Model.Assistant.Prompts.PromptContextsBuilder.ErrorTraces(Aspire.Dashboard.Model.Assistant.InitializePromptContext, string, System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpTrace>>)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_008B` |
| `Aspire.Dashboard.Model.SpanMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpSpan, Microsoft.AspNetCore.Components.EventCallback, Microsoft.AspNetCore.Components.EventCallback<Aspire.Dashboard.Otlp.Model.OtlpSpan>, bool)` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0059` |
| `Aspire.Dashboard.Model.SpanMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpSpan, Microsoft.AspNetCore.Components.EventCallback, Microsoft.AspNetCore.Components.EventCallback<Aspire.Dashboard.Otlp.Model.OtlpSpan>, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_009C` |
| `Aspire.Dashboard.Model.SpanMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpSpan, Microsoft.AspNetCore.Components.EventCallback, Microsoft.AspNetCore.Components.EventCallback<Aspire.Dashboard.Otlp.Model.OtlpSpan>, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00F1` |
| `Aspire.Dashboard.Model.SpanMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpSpan, Microsoft.AspNetCore.Components.EventCallback, Microsoft.AspNetCore.Components.EventCallback<Aspire.Dashboard.Otlp.Model.OtlpSpan>, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0134` |
| `Aspire.Dashboard.Model.SpanMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpSpan, Microsoft.AspNetCore.Components.EventCallback, Microsoft.AspNetCore.Components.EventCallback<Aspire.Dashboard.Otlp.Model.OtlpSpan>, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0184` |
| `Aspire.Dashboard.Model.StructuredLogMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpLogEntry, Microsoft.AspNetCore.Components.EventCallback, bool)` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0051` |
| `Aspire.Dashboard.Model.StructuredLogMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpLogEntry, Microsoft.AspNetCore.Components.EventCallback, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0094` |
| `Aspire.Dashboard.Model.StructuredLogMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpLogEntry, Microsoft.AspNetCore.Components.EventCallback, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00D7` |
| `Aspire.Dashboard.Model.StructuredLogMenuBuilder.AddMenuItems(System.Collections.Generic.List<Aspire.Dashboard.Model.MenuButtonItem>, Aspire.Dashboard.Otlp.Model.OtlpLogEntry, Microsoft.AspNetCore.Components.EventCallback, bool)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0127` |
| `Aspire.Dashboard.ServiceClient.DashboardClient.CalculateReplicaIndex(string)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_001F` |
| `Aspire.Dashboard.Utils.FilterHelpers.GetFilterMenuItems(Aspire.Dashboard.Components.Pages.IPageWithSessionAndUrlState<TView, TR>, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter>, System.Action, System.Func<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter, System.Threading.Tasks.Task>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.StructuredFiltering>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Dialogs>, Aspire.Dashboard.Components.Layout.AspirePageContentLayout)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0119` |
| `Aspire.Dashboard.Utils.FilterHelpers.GetFilterMenuItems(Aspire.Dashboard.Components.Pages.IPageWithSessionAndUrlState<TView, TR>, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter>, System.Action, System.Func<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter, System.Threading.Tasks.Task>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.StructuredFiltering>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Dialogs>, Aspire.Dashboard.Components.Layout.AspirePageContentLayout)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_015A` |
| `Aspire.Dashboard.Utils.FilterHelpers.GetFilterMenuItems(Aspire.Dashboard.Components.Pages.IPageWithSessionAndUrlState<TView, TR>, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter>, System.Action, System.Func<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter, System.Threading.Tasks.Task>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.StructuredFiltering>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Dialogs>, Aspire.Dashboard.Components.Layout.AspirePageContentLayout)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0199` |
| `Aspire.ColorGenerator..ctor()` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0029` |
| `Aspire.ColorGenerator.CreateColorIndex(string)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0007` |
| `Aspire.Dashboard.Api.TelemetryApiService.GetLogs(string[], string, string, System.Nullable<int>, string)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0140` |
| `Aspire.Dashboard.Api.TelemetryApiService.GetSpans(string[], string, System.Nullable<bool>, System.Nullable<int>, string)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0108` |
